"","term","estimate","std.error","statistic","p.value","OR","2.5 %","97.5 %"
"1","(Intercept)",1.22222969209225,2.55797355481484,0.477811699730697,0.632784233142926,3.3947485453346,0.0216919015601017,542.359469090563
"2","soil_pH_mean",-0.788522442730296,0.514353153949447,-1.53303705183034,0.125266725934302,0.454515872614448,0.158725148004534,1.21487220042699
"3","sfs_monoculture_perennial_area",-0.093087892805398,0.0512606161904528,-1.81597295786576,0.0693745204421128,0.911113416462587,0.823405187711662,1.01469812467376
"4","crop_type.cacao",2.15567220828548,1.27714763815793,1.68788019793441,0.0914342285839671,8.63369186798651,0.764502746665083,126.017510757826
"5","nearest_farmer_adopted",0.824150075686962,0.658753506274794,1.25107504982778,0.210907097422312,2.27994216333658,0.616417553713654,8.40659436826778
"6","years_farming_land",0.0482032393746807,0.0367904394297665,1.31021102552204,0.190124456890509,1.04938390978251,0.978878372732041,1.13539228877747
"7","num_info_exchange_extension",0.179480958577458,0.167945961327418,1.06868279033845,0.285212628801442,1.19659611895824,0.877537783199557,1.69517919680339
"8","training_participation",1.72408814930157,0.823511544558918,2.0935810319757,0.0362973187108116,5.60740558108939,1.14874362309782,30.3904601122229
"9","sales_channel_crops.cooperative",-1.92952799687497,1.25625673383944,-1.5359344510559,0.124554457642102,0.145216725058008,0.00992511661904321,1.46506946201029
"10","governance_involvement",-0.24347977999492,0.487066793684866,-0.499889918901867,0.617152591060563,0.783895326239506,0.300804992729746,2.07553095846519
"11","perception_associations_effectiveness",-0.0623227130755637,0.296579948295336,-0.210137986178022,0.83355997862542,0.939579623230213,0.518716895172657,1.68005162672029
"12","support_provider.cooperatives",1.51957329461121,0.948921984599671,1.60136799365259,0.109295437380646,4.57027461820306,0.724819742269899,32.9886801091882
"13","support_provider.ind_different_community",-0.988749792381516,0.795464381614036,-1.24298436892334,0.213873593566692,0.372041529543797,0.072363066418281,1.76217148999252
