"constructs1","constructs2","correlation"
"soil_pH_mean","crop_type.cacao",NA
"soil_pH_mean","dfs_adoption_binary",NA
"soil_pH_mean","distance_main_road",NA
"soil_pH_mean","membership",NA
"soil_pH_mean","nearest_farmer_adopted",NA
"soil_pH_mean","num_info_exchange_extension",NA
"soil_pH_mean","num_info_exchange_sources",NA
"soil_pH_mean","num_membership",NA
"soil_pH_mean","perception_associations_effectiveness",NA
"soil_pH_mean","project_participation",NA
"soil_pH_mean","sales_channel_crops.cooperative",NA
"soil_pH_mean","sfs_monoculture_perennial_area",NA
"soil_pH_mean","soil_pH_mean",NA
"soil_pH_mean","support_provider.cooperatives",NA
"soil_pH_mean","support_provider.ind_different_community",NA
"soil_pH_mean","training_participation",NA
"soil_pH_mean","years_farming_land",NA
"sfs_monoculture_perennial_area","crop_type.cacao",NA
"sfs_monoculture_perennial_area","dfs_adoption_binary",NA
"sfs_monoculture_perennial_area","distance_main_road",NA
"sfs_monoculture_perennial_area","membership",NA
"sfs_monoculture_perennial_area","nearest_farmer_adopted",NA
"sfs_monoculture_perennial_area","num_info_exchange_extension",NA
"sfs_monoculture_perennial_area","num_info_exchange_sources",NA
"sfs_monoculture_perennial_area","num_membership",NA
"sfs_monoculture_perennial_area","perception_associations_effectiveness",NA
"sfs_monoculture_perennial_area","project_participation",NA
"sfs_monoculture_perennial_area","sales_channel_crops.cooperative",NA
"sfs_monoculture_perennial_area","sfs_monoculture_perennial_area",NA
"sfs_monoculture_perennial_area","soil_pH_mean",0.324449334846753
"sfs_monoculture_perennial_area","support_provider.cooperatives",NA
"sfs_monoculture_perennial_area","support_provider.ind_different_community",NA
"sfs_monoculture_perennial_area","training_participation",NA
"sfs_monoculture_perennial_area","years_farming_land",NA
"crop_type.cacao","crop_type.cacao",NA
"crop_type.cacao","dfs_adoption_binary",NA
"crop_type.cacao","distance_main_road",NA
"crop_type.cacao","membership",NA
"crop_type.cacao","nearest_farmer_adopted",NA
"crop_type.cacao","num_info_exchange_extension",NA
"crop_type.cacao","num_info_exchange_sources",NA
"crop_type.cacao","num_membership",NA
"crop_type.cacao","perception_associations_effectiveness",NA
"crop_type.cacao","project_participation",NA
"crop_type.cacao","sales_channel_crops.cooperative",NA
"crop_type.cacao","sfs_monoculture_perennial_area",0.252778858222912
"crop_type.cacao","soil_pH_mean",0.746684079229822
"crop_type.cacao","support_provider.cooperatives",NA
"crop_type.cacao","support_provider.ind_different_community",NA
"crop_type.cacao","training_participation",NA
"crop_type.cacao","years_farming_land",NA
"nearest_farmer_adopted","crop_type.cacao",0.686462059206595
"nearest_farmer_adopted","dfs_adoption_binary",NA
"nearest_farmer_adopted","distance_main_road",NA
"nearest_farmer_adopted","membership",NA
"nearest_farmer_adopted","nearest_farmer_adopted",NA
"nearest_farmer_adopted","num_info_exchange_extension",NA
"nearest_farmer_adopted","num_info_exchange_sources",NA
"nearest_farmer_adopted","num_membership",NA
"nearest_farmer_adopted","perception_associations_effectiveness",NA
"nearest_farmer_adopted","project_participation",NA
"nearest_farmer_adopted","sales_channel_crops.cooperative",NA
"nearest_farmer_adopted","sfs_monoculture_perennial_area",0.118705324501723
"nearest_farmer_adopted","soil_pH_mean",0.515939115398374
"nearest_farmer_adopted","support_provider.cooperatives",NA
"nearest_farmer_adopted","support_provider.ind_different_community",NA
"nearest_farmer_adopted","training_participation",NA
"nearest_farmer_adopted","years_farming_land",NA
"years_farming_land","crop_type.cacao",0.49246697006498
"years_farming_land","dfs_adoption_binary",NA
"years_farming_land","distance_main_road",NA
"years_farming_land","membership",NA
"years_farming_land","nearest_farmer_adopted",0.360665696595472
"years_farming_land","num_info_exchange_extension",NA
"years_farming_land","num_info_exchange_sources",NA
"years_farming_land","num_membership",NA
"years_farming_land","perception_associations_effectiveness",NA
"years_farming_land","project_participation",NA
"years_farming_land","sales_channel_crops.cooperative",NA
"years_farming_land","sfs_monoculture_perennial_area",0.0230919848499688
"years_farming_land","soil_pH_mean",0.270697837495998
"years_farming_land","support_provider.cooperatives",NA
"years_farming_land","support_provider.ind_different_community",NA
"years_farming_land","training_participation",NA
"years_farming_land","years_farming_land",NA
"num_info_exchange_extension","crop_type.cacao",0.48910810428212
"num_info_exchange_extension","dfs_adoption_binary",NA
"num_info_exchange_extension","distance_main_road",NA
"num_info_exchange_extension","membership",NA
"num_info_exchange_extension","nearest_farmer_adopted",0.409508462827127
"num_info_exchange_extension","num_info_exchange_extension",NA
"num_info_exchange_extension","num_info_exchange_sources",NA
"num_info_exchange_extension","num_membership",NA
"num_info_exchange_extension","perception_associations_effectiveness",NA
"num_info_exchange_extension","project_participation",NA
"num_info_exchange_extension","sales_channel_crops.cooperative",NA
"num_info_exchange_extension","sfs_monoculture_perennial_area",0.0117232789027557
"num_info_exchange_extension","soil_pH_mean",0.430507741046457
"num_info_exchange_extension","support_provider.cooperatives",NA
"num_info_exchange_extension","support_provider.ind_different_community",NA
"num_info_exchange_extension","training_participation",NA
"num_info_exchange_extension","years_farming_land",0.39301734996804
"training_participation","crop_type.cacao",0.524939914613826
"training_participation","dfs_adoption_binary",NA
"training_participation","distance_main_road",NA
"training_participation","membership",NA
"training_participation","nearest_farmer_adopted",0.433079777648523
"training_participation","num_info_exchange_extension",0.577816233594391
"training_participation","num_info_exchange_sources",NA
"training_participation","num_membership",NA
"training_participation","perception_associations_effectiveness",NA
"training_participation","project_participation",NA
"training_participation","sales_channel_crops.cooperative",NA
"training_participation","sfs_monoculture_perennial_area",0.0962561231192284
"training_participation","soil_pH_mean",0.495224599889555
"training_participation","support_provider.cooperatives",NA
"training_participation","support_provider.ind_different_community",NA
"training_participation","training_participation",NA
"training_participation","years_farming_land",0.372706361108983
"sales_channel_crops.cooperative","crop_type.cacao",0.673901248068501
"sales_channel_crops.cooperative","dfs_adoption_binary",NA
"sales_channel_crops.cooperative","distance_main_road",NA
"sales_channel_crops.cooperative","membership",NA
"sales_channel_crops.cooperative","nearest_farmer_adopted",0.571291198708849
"sales_channel_crops.cooperative","num_info_exchange_extension",0.664358658764993
"sales_channel_crops.cooperative","num_info_exchange_sources",NA
"sales_channel_crops.cooperative","num_membership",NA
"sales_channel_crops.cooperative","perception_associations_effectiveness",NA
"sales_channel_crops.cooperative","project_participation",NA
"sales_channel_crops.cooperative","sales_channel_crops.cooperative",NA
"sales_channel_crops.cooperative","sfs_monoculture_perennial_area",0.0885078942185731
"sales_channel_crops.cooperative","soil_pH_mean",0.525981215805528
"sales_channel_crops.cooperative","support_provider.cooperatives",NA
"sales_channel_crops.cooperative","support_provider.ind_different_community",NA
"sales_channel_crops.cooperative","training_participation",0.764034570986531
"sales_channel_crops.cooperative","years_farming_land",0.400647573590634
"perception_associations_effectiveness","crop_type.cacao",0.741951148219313
"perception_associations_effectiveness","dfs_adoption_binary",NA
"perception_associations_effectiveness","distance_main_road",NA
"perception_associations_effectiveness","membership",NA
"perception_associations_effectiveness","nearest_farmer_adopted",0.515430440151392
"perception_associations_effectiveness","num_info_exchange_extension",0.575824033217474
"perception_associations_effectiveness","num_info_exchange_sources",NA
"perception_associations_effectiveness","num_membership",NA
