"","from","to","Original Est.","Bootstrap Mean","Bootstrap SD","tvalue","2.5% CI","97.5% CI","pvalue","significance"
"1","soil_pH_mean","dfs_adoption_binary",-0.142904467218807,-0.138728458974969,0.117338104048562,-1.2178862815072,-0.363091735700728,0.0989080719235658,0.223267190090664,""
"2","sfs_monoculture_perennial_area","dfs_adoption_binary",-0.0936211804881343,-0.0968049145284652,0.0658786166414394,-1.42111636918077,-0.23708467055142,0.0253499335470113,0.155282931974685,""
"3","nearest_farmer_adopted","dfs_adoption_binary",0.0216473241983108,0.0147938377334002,0.103282484148376,0.209593372746653,-0.183456828837004,0.220130366643202,0.833985052542603,""
"4","agroecol_perspective_13","dfs_adoption_binary",-0.318213507637307,-0.314310576617659,0.13110358697624,-2.42719146727067,-0.56932463105398,-0.0530431447785348,0.0152162230905024,"*"
"5","income_stability","agroecol_perspective_13",0.0190311696008301,0.00549244625297389,0.0818780819171333,0.232433016934753,-0.151108869332181,0.168619765052223,0.8162017072086,""
"6","income_stability","dfs_adoption_binary",-0.0235578323642483,-0.0255957292718749,0.101473399306606,-0.23215771350152,-0.220935646706764,0.173661474688817,0.816415520242325,""
"7","years_farming_land","agroecol_perspective_13",-0.0181028315867973,-0.0200581620083731,0.0769707513024184,-0.235191046994867,-0.174901229370054,0.126690031918735,0.814060454590945,""
"8","years_farming_land","dfs_adoption_binary",0.0823593877566628,0.0640872694110176,0.0944190193268033,0.872275399001977,-0.13457900162004,0.237112980116666,0.383058155051374,""
"9","num_info_exchange_extension","agroecol_perspective_13",-0.197539137209498,-0.188074364135748,0.0714185824318957,-2.7659347257119,-0.334128772874573,-0.0528569581985417,0.00567598948709658,"**"
"10","num_info_exchange_extension","training_participation",0.160643510254033,0.162133632562587,0.0800549538330212,2.00666545369701,0.0191379521256224,0.332897582099229,0.0447852968016835,"*"
"11","num_info_exchange_extension","dfs_adoption_binary",0.0474575637432773,0.0511959483882162,0.0808092275127051,0.587279017557938,-0.111313711958586,0.206406985592337,0.557016330778995,""
"12","training_participation","dfs_adoption_binary",0.220882683658095,0.215302204184149,0.126147310109499,1.75099004066248,-0.0183346627838509,0.47824064068171,0.0799476255551543,"."
"13","governance_involvement","training_participation",0.00716902667084412,0.00220027582417464,0.082100542494287,0.0873200889183282,-0.149941950583705,0.169561433573872,0.930417086361492,""
"14","governance_involvement","dfs_adoption_binary",-0.0356896487045709,-0.05191726181157,0.0905811652439235,-0.394007392248303,-0.238338160519883,0.120505946084455,0.693575581569552,""
"15","perception_associations_effectiveness","agroecol_perspective_13",-0.332783238570812,-0.320322759648026,0.0901404621713683,-3.69182973499902,-0.487601606649637,-0.136640119206796,0.000222646503131863,"***"
"16","perception_associations_effectiveness","training_participation",0.333030370049294,0.329633863952614,0.112428708417785,2.96214707734392,0.113431028306679,0.554055691513687,0.00305501814444065,"**"
