"list_name","name_choice","label_choice","name_new","country"
"1_1_2","farm","Farm",NA,"global"
"1_2_1_10","married","Married","3","global"
"1_2_1_10","partner","Partner (not-married)","2","global"
"1_2_1_10","single","Single","1","global"
"1_2_1_10","divorced","Divorced / Separated","4","global"
"1_2_1_10","widower","Widower","5","global"
"1_2_1_10","777","Prefer not to say","unknown","global"
"1_2_1_10","other","Other (please specify)","6","global"
"1_2_1_13_1","1","Agricultural and/or livestock work on your own land.",NA,"global"
"1_2_1_13_1","2","Permanent salaried work on other people's land",NA,"global"
"1_2_1_13_1","3","Seasonal wage labor on other people's land",NA,"global"
"1_2_1_13_1","4","Public administration",NA,"global"
"1_2_1_13_1","5","Company (landowner)",NA,"global"
"1_2_1_13_1","6","Salaried (non-agricultural work)",NA,"global"
"1_2_1_13_1","7","Study/education/training",NA,"global"
"1_2_1_13_1","8","Homemaker",NA,"global"
"1_2_1_13_1","9","Can't work",NA,"global"
"1_2_1_13_1","777","Prefer not to say",NA,"global"
"1_2_1_13_1","other","Other (please specify)",NA,"global"
"1_2_1_13_2_1","1","Yes",NA,"global"
"1_2_1_13_2_1","0","No",NA,"global"
"1_2_1_13_2_2","1","Agricultural and/or livestock work on own land.",NA,"global"
"1_2_1_13_2_2","2","Permanent salaried work on other people's land",NA,"global"
"1_2_1_13_2_2","3","Seasonal wage labor on other people's land",NA,"global"
"1_2_1_13_2_2","4","Public administration",NA,"global"
"1_2_1_13_2_2","5","Company (landowner)",NA,"global"
"1_2_1_13_2_2","6","Salaried (non-agricultural work)",NA,"global"
"1_2_1_13_2_2","7","Study/education/training",NA,"global"
"1_2_1_13_2_2","8","Homemaker",NA,"global"
"1_2_1_13_2_2","777","Prefer not to say",NA,"global"
"1_2_1_13_2_2","other","Other (please specify)",NA,"global"
"1_2_1_15","1","Yes",NA,"global"
"1_2_1_15","0","No",NA,"global"
"1_2_1_16","2","Yes, I have a clear understanding of Agroecology.",NA,"global"
"1_2_1_16","1","I have some knowledge about Agroecology, but I would like to learn more.",NA,"global"
"1_2_1_16","0","No, I am not familiar with the term Agroecology.",NA,"global"
"1_2_1_3","burkinafaso","Burkina Faso",NA,"global"
"1_2_1_3","india","India",NA,"global"
